Banks_Live_Scaled,Volume_Mn
-0.711085948353783,524.94
-0.013328547011933365,4186.48
1.9031147265365715,18395.01
1.8362064825722846,18301.51
-0.9118106802466439,171.4
-0.6393985441063328,1308.4
1.8696606045544282,17893.42
0.42157503875593183,7305.42
-1.0695229695910347,11.63
-0.711085948353783,482.36
1.7215066357763642,15482.02
-1.1507686944048117,4.46
-0.6824109866548029,672.75
-0.2283907597542843,2807.51
-0.08501595125938367,3654.3
-0.77799419231807,312.02
-0.6489568646726595,1148.36
-1.2033394575196086,0.09
-0.36698640796602156,2210.23
-0.13280755409101722,3555.55
-0.6393985441063328,822.29
-0.6441777043894961,799.54
-1.0599646490247079,16.8
1.5829109875646268,14963.05
-0.6585151852389861,674.19
-0.3335322859838781,2234.16
-1.1794436561037918,0.29
-0.6393985441063328,1218.77
0.024904735253373465,4566.3
0.8039078614090002,9415.19
-0.77799419231807,273.75
-1.0312896873257278,105.02
1.0906574783988014,11408.79
1.4108612173707462,13440.0
-0.8401232759991936,189.48
-1.155547854687975,1.99
0.6557538926309362,8863.26
-0.5820486207083725,1234.5
-1.088639610723688,9.36
0.47414580187072874,7309.45
-0.859239917131847,190.08
-1.222456098652262,0.09
-1.0504063284583811,30.98
-0.6441777043894961,754.54
1.3057196911411524,12203.02
-1.198560297236445,0.1
0.22085030686307097,5955.2
1.5351193847329934,14035.84
1.0285283947176778,10555.69
-0.41955717108081847,2071.62
-0.5820486207083725,1336.93
0.3307709933758281,6579.63
-0.6250610632568426,1325.69
0.38812091677378835,6780.8
-0.25228656117010106,2539.57
1.8935564059702448,18677.46
0.990295112452371,10586.02
-0.6489568646726595,955.02
-0.304857324284898,2292.9
-0.5916069412746991,999.57
1.463431980485543,13303.99
-0.3335322859838781,2302.73
0.2925377111105213,6288.4
-0.7063067880706196,620.17
1.7692982386079976,16996.0
-0.2905198434354079,2731.68
-0.19971579805530418,3247.82
1.3535112939727858,12102.67
-0.6393985441063328,733.54
-0.7397609100527631,405.87
1.5685735067151367,14435.55
-1.222456098652262,0.0
-0.5199195370272489,1618.83
-0.9834980844940943,151.83
-1.222456098652262,0.0
-0.8879148788308271,178.05
0.9377243493375741,9964.61
1.6498192315289137,15041.75
0.2543044288452145,5862.75
0.8660369450901237,9335.06
0.5410540458350157,7534.76
1.9652438102176952,20008.31
-1.0026147256267477,145.64
-0.2714032023027545,2641.06
0.1778378643146008,5405.65
1.7979732003069777,16106.19
-1.074302129874198,10.35
1.1719032032125785,12020.23
-0.5390361781599023,1497.36
1.6976108343605474,16584.97
